recovered,Average_score
5511,1007
4381,186
5026,115
5441,687
74064,6215
15658,2370
2151,610
4536,448.5
24069,2755
11378,923
6909,942
13808,1762
52176,3954
10934,1294
3623,506
21118,2655
10909,787
20537,1453
4124,505
7691,672
12898,1299.5
11835,697
17064,995
23038,1221
19375,1452
4681,319
21363,1683
10855,1293
3332,780
5364,396
13826,897
7207,1013
4874,382
5272,69
6676,619.6666667
89807,7674
20628,1353
3285,330
5976,873
30013,3002
13124,1270
8819,619
60052,3833
14247,1417
4229,221
4372,445.3333333
26963,2990
12610,665
23776,1122
5790,733
8921,522
17504,1260
13481,694
19067,871
25923,1138
23113,1216
5624,159
25017,1434
13498,1285
4871,642
1351,344.5
5396,653
907,249
931,236
3011,393
1883,182
32744,4284
2070,642
241,100
849,409
3445,1236
3097,470
3621,1008
22990,2423
3513,619
1492,258.5
837,346
2474,921
2876,724
4982,1016
1219,267
1944,620
1633,497
5288,375
4520,206
6263,1229
1519,258
5733,1148
2154,677
429,231
2263,381
7806,619
1627,452
2244,244
4170,249
2796,224
44357,4666
5386,739
538,225
1966,482
8404,2302
5280,839
3408,448.5
6510,1313
33640,2780
5993,463
2377,204
1571,431
6859,1226.5
5936,878.5
10844,1166
1737,304
3264,874
3230,693
7761,436
9525,668
11216,1451
7274,749
2455,334
9977,1388
4098,1220
844,321
7812,843
18005,1184
11094,1006.5
5525,214.5
6337,297.5
13787,2350
133020,12614
28243,3173
5448,604.6666667
10558,2483
41813,3415
19380,580
12471,962
27772,2265
83130,3984
22045,805
5414,283
5560,284
45368,3673
18655,895
29782,1009
10623,1886
11277,329
25120,1428
17440,781
34027,899
30691,704
28355,1253
7113,201
31443,722
18614,1114
8645,1433
1066771,-1066771
1038766,-1038766
1577838,-1577838
77357,100864
633,1492.272727
40437,82897
2007339,-2007339
1716135,-1716135
30513,77488
1924865,-1924865
3555,531
10523,616
3528,960
3872,436
4756,143
4065,394
60654,5697
10832,2070
1317,414.5
3443,606
17838,3162
8730,1364
5205,819
10641,1422
43724,3836
8435,1065
3007,309
2719,479
15908,2203
9174,788
16280,1665
6011,997
7782,2065
9901,722
15111,841
18658,1817
14742,1529
3655,771.6666667
16761,2413
7658,1885
2063,597
650,253
547,116
422,176.5
1283,594
1275,98
20521,3591
915,251
105,38
240,149
1108,779
1594,235
1163,636.5
13000,2015
1534,393
933,250
400,188.5
1147,324.5
1154,464
2280,733
660,247.5
1349,268
689,257
2687,592
1875,728.5
3258,957
1335,355.3333333
806,190
3085,633
1381,387
216,67
881050,-881050
1939596,-1939596
6502,505
17548,851
9576,763
5323,297.3333333
6720,518
9748,1065
115794,7592
24256,1813
4470,546
8151,876
38021,1775
17116,1108
11068,603
23263,2141
74558,3412
19412,997.5
4821,292
5110,545.5
36227,3583
15907,1101.5
27449,917
7984,886
10386,464
21515,851
15705,669
31153,852
29149,704
26688,864
6563,141
29101,1046
16773,788
6547,732
4847,240
13082,648
6432,841
4675,156
5198,234.5
5959,627
80750,7168
18394,1834
2787,495
5262,692
26766,2855
12373,762
7897,771
16219,1677
56375,3436
12615,1344
3973,271
4046,378
23847,3003
11905,548
22222,1159
4963,464.5
8300,624
15612,1334
12732,614
18034,753
24685,1104
21623,1036
5183,1201
23225,1373
12083,1376
4158,671
1015256,-1015256
1755798,-1755798
7263,929
17565,1059
10591,918
5472,79
6292,496.5
11292,2939
128561,11456
26884,2619
5249,403
9387,2052
40828,2657
18992,653
12037,856
26328,2482
81390,3519
21157,1042
5238,309
5473,309
42767,4141
18031,848
29020,1090
9724,1102
11116,334
24074,1350
17024,767
33335,889
30297,697
27921,961
6966,218
30821,950
17857,1445
7987,1267
183,
1681336,-1681336
818397,-818397
936,396
4660,413.5
684,191
612,238.5
2193,557
1620,81
26574,4297
1372,389
151,77
447,344
2022,1021
2331,317
1691,276
2150,887.5
17614,2935
2403,660
1208,266
597,246
1616,561
1894,584
3431,764.5
911,249
1622,282.5
1045,439
3822,640
3132,339
4548,1020
2047,611.5
1105,330
1787,396
279,167
1168354,-1168354
405,179
2741,560.5
412,147.3333333
228,100
485,419
760,116
12341,3495
598,151
44,39
132,53
556,185.6666667
638,310.5
550,385
637,381
7914,1437
763,376
686,220
223,118
688,339
404,405
1141,474
273,291
1027,235.5
371,229.5
1584,333.5
825,313
1909,477.5
807,239
393,179
150376,-150376
1638,632
872,384
146,50
4343,440
12175,729
5541,1003
4401,187
5027,129
5498,642
74641,6808
15948,1592
2196,624
4583,782
24202,2738
11572,890
6990,924
14142,1787
52539,4051
11044,1417
3665,335
3642,474.5
21394,2753
11030,733
20629,1503
4237,652
7751,666
13168,1663
11916,720
17172,1009
23229,1211
19496,1417
4734,333
21729,1681
10974,1324
3496,710
1584704,-1584704
2848,532
9011,831
2321,899
2883,500
4461,217
3149,576
50405,6369
7202,2472
668,468
2480,663
11791,3283
7026,1201
3919,591
7552,2179
37460,4630
6867,836
2640,278
2097,540
8654,3769
7484,746.5
12265,2623
2226,430
4455,1204
3746,2377
9036,834
12425,1099
14268,2391
8995,2532
2779,622
12300,3002
1266,421.5
1143254,-1143254
1916144,-1916144
6272,652
17462,746
9524,700
5314,52
6713,87
9768,1004
114451,7022
24028,1667
8144,753
37777,1683
17051,941
10986,545
22948,2028
73543,3246
19237,895.5
4840,186
5130,316
35897,3227
15843,869
27342,801
7912,723
10270,466
21337,781
15606,610
30978,773
28971,655
26564,754
6552,134
29004,986
16540,904
6509,638
6154,422
15295,600
5088,194
5458,68
8946,795
106772,7478
23154,1352
3889,413
7527,795
36202,1774
16018,1115
10219,577
21516,2152
67738,3858
17581,1147
4652,189
4957,278
33299,3577
14615,955
26224,960
7386,744
9736,469
20496,901
14976,513
21057,728
28269,832
25677,1033
6353,600.5
15691,1037
6120,575
1827,554.5
6496,496
1195,263
1512,199
3640,306
2315,107
38026,3428
3245,709.5
361,119
1308,449
5567,1412
4061,472
2767,433
5038,954
27900,2041
4746,469
2061,172
1161,361
4353,1246
4155,611
7649,1607
1455,308.5
2432,612
2310,649
6584,414
6309,570
8528,1097
4610,945
1876,292
7555,1071
2870,1110
626,186
11423,3750.75
112050,76842
3239,491
10020,703
3105,1044
3619,360
4651,176
56700,6773
9455,2260
1024,524
3031,537
15463,3744
7816,1468
4728,927
9552,1765
41161,4706
7646,1152
2873,287
2435,549
12340,3073
8472,948
15140,2056
2671,424
5384,503.3333333
5985,2514
9663,697
14644,909
16757,2217
11958,2204
3273,812
15097,2802
6763,1817
1697,675
1320448,-1320448
3492,365
10368,761
3344,1037
3790,328
4714,168
3948,499
59176,6721
10355,2357
1233,476
3270,595
17141,3578
8318,1470
4999,909
10316,1606
42861,4363
8118,977
2966,323
2636,525
14998,2726
8898,894
2826,390
5875,1085
7064,1389
15019,944
17987,2141
14225,1981
3514,441
16240,2386.5
7396,1986
1949,464.5
1864914,-1864914
829817,-829817
2204109,-2204109
5367,20278.5
37325,11355
8450,1372.5
18915,1132
11901,662
5639,85
6438,30.5
17317,2490.75
142328,15495
30938,2898.25
5791,294.4
13226,2449.5
45630,3079
20009,379.25
13370,928.75
29846,2327.75
86405,2349.5
23178,903
5631,300.5
5745,242
49029,4626.75
19550,935
30711,1208.25
12483,2327.5
11673,254.5
27062,1608.4
18245,648.75
35026,1287.25
31364,763.25
29450,959.25
7322,380
32254,696.25
19522,827.5
9907,1707.25
1335876,-1335876
1914101,-1914101
5124,417
13569,845
6937,672.5
4789,141
5244,66
6381,805
86060,8052
19887,1515
3129,362
5707,912
28602,3220
8535,668
17299,1882
58850,3582
13631,1351
4119,246
4305,323
25767,2177
12364,591
23255,1201
5493,801
8754,542
16768,1469
13146,695
18758,820
25441,1195
22429,1282
5495,228
24290,1457
13003,1280
4640,412.5
1934541,-1934541
3407,450
10218,767
3178,1139
3704,372
4688,175
3860,513.5
58373,6972
10007,2460
3159,726
16558,3821
8113,1812.5
4875,710
10057,1697
42214,4799
7869,1277
2537,391
13954,2958
8763,967
15651,2233
2801,435
5634,1199
6721,2675
9683,858
14902,1014
17492,2233
13866,2229
16037,2739
7184,2024
1849,672
17781,8011.5
126002,68466
1660786,-1660786
6874,1103
17479,913
10444,879
5463,62
6266,133
10850,3000
126746,10617
26452,2578
5193,396
9348,1769.5
40409,2362
18764,720
11911,1165
25988,2443
80473,3387
20874,1094
5207,296
5427,318
41577,4259
17744,912
28899,1051
10997,363
23666,1313
16801,772
33132,799
30132,726
27940,770
6961,445
30643,938
17708,1288
7721,1225
766361,-766361
2112815,-2112815
971115,-971115
9918,919
3471,1082
1046,605.5
1496,628
2110,-59
6244,7374
7621,8627
25849,23810
159,1.5
2482,-51
8157,559
2867,799
40199,16715
1998,-608
3400,1207
28475,9643
1964,2718
67504,86981
1845008,-1845008
1107,
996302,-996302
2019048,-2019048
2483,590.5
8229,506
1861,523.5
2476,316
4302,189.5
3028,374.5
47055,3983
6156,1104
621,203
2227,548
9749,1603
6059,751
7117,1310
2484,155
1766,426
8048,1944
6667,548
11852,1002
3725,980
3701,677
8256,618
10550,627
12385,1689
7986,892
2672,280
11113,1455
4627,806.5
1008,344
1528304,-1528304
1223108,-1223108
5924,296
14743,465
8523,698
5003,78.5
5383,68
7831,583
101053,5891
22331,1028
3651,653.5
7085,625.5
34052,2292
14829,1006
9674,1166
20181,1684
65480,3240
16473,1100
4753,451.5
31120,2826
13711,717
25374,854
6903,599.5
9471,350
19590,835
14478,481
20535,621
27406,877
25039,833
6134,155
26968,1121
15041,919
5678,510
745361,-745361
1950419,-1950419
6741,588
16896,774
9961,767
6201,540
10034,1881
120055,8136
25167,2116
4846,452
8561,1335
39012,1879
17866,921
11435,639
24548,2097
77077,2772
19785,898
4946,322
5196,373
38255,4090
16645,1043
8498,1171
10689,377
22261,1098
16077,778
32025,778
29545,758
27182,797
6806,163
29634,1104
17130,942
6951,945
1988096,-1988096
85915,100757
1419,375
5530,600
948,241
989,232
3102,359
1912,163
33453,3935
2186,563
255,98
905,330.5
3624,1133
3212,468
2313,430
3826,919
23609,2400
3641,642
1552,447.5
875,316
2758,897
3025,647
5223,1681
1242,263
2005,448
1714,571
5451,195.5
6531,1275
3073,997
1546,179.5
5960,1884.5
2238,670
442,189
1625328,-1625328
2125,7750.6
1886233,-1886233
8360,877
18656,1113
11626,491.5
5612,84
6422,70
16263,1890
140024,11345
30299,2646
5739,285
12689,2398
44735,2889
19874,404
13153,1159
29318,2285
85587,3641
22885,807
5599,258
5722,237
48334,3764
19341,880
30462,1156
12069,1895
11600,320
26709,986
18099,609
34797,991
31189,659
29188,920
7269,182
31961,755
19397,788
9578,1330
4765,398
12966,744
6335,1089
4629,189
5177,79
5853,723
79734,7613
18085,2064
2725,411.5
5170,774
26104,3126
12255,801
7785,847
15903,1820
55917,3567
12398,1413
3950,292
4017,516
23312,3134
11806,608
22000,1297
8261,646
15243,1536
12539,724
17874,862
24484,1156
21464,1061
5097,332
23029,1490
4062,607.5
866186,-866186
59109,87312
1912690,-1912690
7990,743
18272,1089
11341,729
5547,91
6366,108
14612,2831
134752,12739
28851,3079
11293,2487
42731,3211
19538,490
12653,946
28344,2192
83735,3920
22311,829
5483,252
5635,239
46573,3538
18898,840
29977,1031
11023,1171
11379,448
25495,1273
17622,713
34277,933
30895,600
28750,981
7169,573
31682,718
18842,1059
8955,1448
1307,403
5291,686
870,348
873,224
2905,401
1852,281
32206,4193
1992,603
229,91
802,416
3305,773
3018,451
2179,471
3429,1052
22445,2294
3392,724
1446,286
819,355.5
2346,875.5
2778,690
4810,1596
1190,276
1890,455
1560,362.5
5128,345
4371,897.5
6103,1168
2754,821.5
1472,258.5
5585,975
2107,647
21824,9008
133952,63148
1869529,-1869529
1901322,-1901322
5301,378
13765,845
4857,101
5261,71
6691,756
89015,7555
20545,1347
5922,866
29768,2998
13147,1043.5
8765,613
17720,1437
59801,3711
14090,1433
4352,391.5
26847,2928
12554,640
23601,1092
5734,496.5
8887,498
17353,1292
13435,647
19043,787
25813,1110
22995,1241
5605,168
24867,1360
13333,1280
4816,633
1948267,-1948267
1966702,-1966702
1535786,-1535786
5697,263
14497,562
7858,865
4973,67
5321,74
7430,536
96327,6590
21627,1139
3477,299
6650,1009
32102,2782
13980,1085
9297,539
19008,1861
63100,3496
15532,1221
4349,211
4596,270
29458,2589
13108,583
24736,931
6485,537
9273,373
18734,923
13977,517
19939,694
26775,898
24287,1006
5817,226
