recovered,Average_score
1485,476
4197,226
5841,1135
2658,924
5419,973
2042,624
382,189
7540,1073.5
17889,947
10977,733
5510,68
6334,97
12644,2479
131028,11307
27336,2855
5393,330
10260,2012
41328,2899
19288,545
12244,877
27165,2207
82291,3529
21708,845
5353,244
5557,249
44446,3544
18447,649
29359,1000
10250,1712
11209,313
24756,1333
17307,728
33717,847
30570,602
28253,1024
7010,229
31254,758
18298,1211
8384,1251
723,330
4125,688.5
584,261.5
494,185.6666667
1579,716
1365,81
22254,4273
1048,280
122,14.33333333
283,231
1313,940
1842,213
1344,458
1367,648.5
14260,2367
1718,384
454,182
1280,392
1371,371.5
2624,837
810,317
2246,443
3660,993
1526,403
888,243
3515,744
1524,528.6666667
238,86
3675,426.5
10698,720
3714,1140
3963,304
4777,169
4127,557
62630,5914
11311,1876.5
1378,475
3583,678
18262,3457
9035,1386
5362,922
10891,1776
44707,4595
8586,1238
3041,338
2812,502
16989,2221
9354,970
16954,2012
3026,463
6239,1046
8539,2287
10267,786
15382,1029
19526,1921
14856,1467
3740,479
17556,2451
2144,698
1884008,-1884008
12377,7020
1877,424
6677,582
1221,354
3681,374
2341,123
38457,3469
3517,1133
368,137
5792,1035.333333
4145,640
2836,462
5188,956
28296,2207
2088,218
4546,954
4279,542
7933,1448
2472,716
2369,606.75
6680,742.5
6548,591
8700,1143
4813,855
1917,260.5
7729,1194
2930,832
1590696,-1590696
5073,279.5
13405,832
6799,1205
4763,153
5234,63
85273,8157
19649,1596
3099,434
5551,912
28242,3228
12767,950
8421,719
17045,1977
58500,3632
13289,1563
4099,262
4220,353
25247,3434
12206,642
23137,1248
5438,791
16594,1333
13055,748
18593,877
25293,1225
22136,1372
5436,414.5
24050,1497
12792,1385
4533,438.5
1954251,-1954251
741340,-741340
1048539,-1048539
38080,80925
3929,385
11276,772
4531,728.6666667
4208,729.5
4771,512
67256,5656
13120,2456
3936,618
21246,2670
10202,776.5
12125,1350
47894,4164
9502,1278
18405,2541
10113,773
18544,1834
3463,603.5
6920,875
10567,1796
11017,655
16279,891
21140,1542
16092,1422
4077,452
19656,1368
9527,1380
2520,809
859643,-859643
1907538,-1907538
1962152,-1962152
6165,730
17295,815
9421,763
5295,63
9685,952
112395,7903
24062,1488
4360,507
37553,1657
16866,1006
10914,554
22675,2154
72627,3617
19068,1049
4797,209
5093,358
35354,3477
15599,920
27181,890
7825,749
21201,799
15405,656
30826,792
28866,642
26374,961
6492,163
28826,990
16346,1069
6472,628
1772,998.3333333
62391,87231
1839381,-1765244
1306138,-1306138
1074795,-1074795
1412393,-1412393
703,348
4006,578
569,185
464,140
1449,510.5
1341,90
21649,4300
994,265
117,50
264,223
1218,567.3333333
1740,347.5
1276,403.5
1294,940
13842,2442
1669,422
982,263
430,145
1300,485
724,243
1392,313
762,300
2936,628
2120,442
3518,710.5
854,220
3372,778
1479,373
233,71
1937977,-1937977
2065,217
7171,619
1366,474
1887,579
3928,746
2571,583
41189,4058
4301,1207
1596,503.5
7013,1839
30808,2218
2260,195
1374,436
5505,1588
5162,665
9430,1130
1595,250
2815,806
7778,636
9828,1243
5872,930
2161,487
8719,1128
3472,1132
733,262
2558,332
8434,477
1943,552
2573,289
4338,184
47891,3869
6395,1192
643,219
2288,843
10198,2463
6378,643
3726,487
7317,1338
36392,2286
6464,375
2507,192
1814,449
8389,1851
6795,474
12134,878
1954,324
3834,955
3854,863
8440,594
10952,562
12789,1635
8174,874
11490,1525
4796,1266
1055,770
1098431,-1098431
1078,318
4921,582
735,216
694,201
1739,76
28817,4022
1561,357
186,72
581,329
2504,840
2600,322
2675,1116
19436,2285
2726,501
690,236
1822,650.5
2235,597
3910,1027
1019,314
1738,300
1202,416
4307,640
3638,177
5139,1022
2336,571
1251,332
4849,866
1910,415
324,168
843231,-843231
8239,705
18562,950
11485,651
5593,64
6391,90
15608,1675
138583,10470
29763,2503
5621,292
12124,2124
43826,2598
19779,347
12939,814
28953,1883
85012,3291
22703,656
5550,207
5692,208
47701,3147
19134,705
30296,928
11504,1626
11455,287
17864,580
34684,786
31041,496
29119,726
7228,170
31938,626
19161,843
9395,1238
987328,-987328
1985459,-1985459
1711931,-1711931
2010754,-2010754
4721,388
12806,753
4605,185
5158,92
5760,790
79032,7749
17711,2208
2632,550
5035,803
25868,3073
7679,895
15598,1914
55435,3918
12132,1495
3881,305
3961,426
23019,3215
11708,630
21849,1350
4799,700
8154,684
15017,1560
12460,781
17830,864
24337,1109
21275,1217
4970,330
22837,1505
11718,1533
3970,755
6160,421
15245,522
5079,52
5449,55.5
106006,7058
23146,1285
3864,404
7515,724
36199,1556
15875,1056
10164,573
21467,2019
67499,3664
17542,1086
4613,194
4962,262
33178,3302
26113,885
7321,683
20382,900
14953,499
20984,644
28159,822
25622,1016
6360,139
27910,1206
15573,1075
6101,512
1176658,-1176658
1113137,-1113137
1941913,-1941913
1979823,-1979823
1264780,-1264780
1923744,-1923744
6626,647
17914,781
9934,679
6195,117
119217,7282
24933,1913
8554,938
38822,1711
17728,888
11364,563
24317,1918
76511,2482
19637,852
4943,283
5245,309
38139,3569
16504,908
27964,809
8400,829
10633,390
22043,976
16103,602
31837,739
29509,608
27024,760
6781,134
29636,947
17101,843
6904,814
1720430,-1720430
2003477,-2003477
14733,639
8619,745
5037,55
5404,169.5
8153,866
102961,6312
22558,1050
3666,389
7168,649
34768,1936
15141,1050
9842,585
20477,1845
65942,3750
16783,1092
4553,290
4793,303
31069,3134
13978,796
25626,938
7005,589
9536,410
19743,826
14527,564
20682,593
27623,844
25190,905
6285,149
27176,1085
15181,957
5785,541
17030,921
10118,829
6229,134
9953,2670
123145,8654
25536,2344
8779,1602
39608,1954
18256,829
11619,1035.5
25008,2229
78038,3019
20102,1041
5327,331
39428,4385
17107,1061
28432,913
8812,1400
10819,381
22768,1297
16435,791
32444,856
29715,819
27481,828
6845,215
30060,1028
17393,1062
7306,1095
4488,396
12442,609
5859,851
4484,174
76263,5880
16709,2120
2428,550.5
4845,676
24951,2357
11844,757
7318,780
14712,1586
53477,3652
11531,1295
3785,676.5
3784,383
22236,2458
11373,516
21155,1213
4450,532
7922,586.5
13892,1440
12105,610
17312,904
23706,1008
20321,888
4855,270
22340,1443
11222,1249
74797,94587.33333
2031875,-2031875
2257443,-2257443
2148642,-2148642
1555923,-1555923
754200,-754200
2270427,-2270427
1548174,-1548174
5355,389
13995,878
7337,1013
4892,81
5284,65
6710,898
90699,7961
20756,1390
3354,293
30324,3036
8937,596
18064,1997
60637,3738
14453,1468
4255,222
27359,3007
12712,641
23943,1089
5917,706
8975,504
17667,1291
13600,654
19246,833
26105,1020
23349,1207
25233,1361
13633,1324
4935,651
1875211,-1875211
798037,-798037
2745,532
8882,810
2816,440
4438,204
49246,6028
6376,2457
664,424
2495,593
11418,3055
6869,1065
3922,683
7473,1917
36601,4154
6711,789
2575,277
1997,518
8322,3584
7301,680
12071,2317
2159,391
4326,1164
8676,831
12057,1052
13862,2306
8552,2043
2785,557
12270,2714
5250,828
23100,9654
137139,63553
1897587,-1897587
5825,272
14683,472
8272,780
4987,75
7557,1000.5
99325,6524
22139,1020
3609,341
6978,602
33477,2382
14391,1162
9567,586
64731,3334
16007,1353
4475,178
4725,278
30716,2819
13448,727
25196,884
6771,504
9440,354
19217,873
14261,540
20387,642
27211,898
24790,851
6055,150
26579,1108
14782,1015
5614,573
384,153
397,51
205,75
420,335
693,113
11208,3018
564,126
39,34
116,53
481,313
572,219
493,361
593,234
7365,1418
665,268.5
675,235
207,105
617,239
331,225.5
1038,433
213,273
923,198
310,167
1476,359
712,240
1695,675
765,238
335,184.5
1460,554
797,278
134,54
2323,367
1665,560
2298,422
4188,242
44941,4705
5573,634.5
2033,481
8686,2568
5476,813
3467,482
34078,2841
6068,492
2417,403
1619,430
7040,1895
6078,817
1793,311
3375,980
3338,785
7842,445
11422,1647
2473,390
4236,1257
885,327
6882,892
17331,858
5435,63
6269,106
10605,1503
125470,9159
26055,2300
9295,1450
40282,1909
18583,672
11820,751
25696,2061
79373,2889
20677,952
5413,290
41002,4169
17568,862
28656,960
10942,347
23415,1218
16748,1250
32763,755
29991,702
27818,681
6894,194
30471,918
17673,1019
7597,1098
16780,63460
557,238.6666667
352,202.5
955,625
1095,160
17626,4018
768,239
80,40
189,139
871,433
1197,369
900,479.5
932,502.6666667
11213,1973
1278,487.5
847,282
349,151
997,288
546,225
2283,490
1409,347
2731,770
1116,536.5
623,230
2535,583
1226,415
188,63
8433,1077
18766,1154
11777,627
5606,97
6429,75
140594,12272
30550,2724
5751,284
12758,2486
45137,2951
19932,411
29470,2352
85904,3840
22998,876
5607,379
5723,245
48568,3936
19445,897
30586,1136
12220,2001
26889,1047
18140,627
34798,1142
31240,685
29278,911
7278,204
32114,715
19383,828
9676,1567
1655549,-1655549
616,182
3830,499.5
529,96
398,122
1198,669
1239,117
19750,3909
860,228
94,38
221,147
1052,704
1503,263
12585,1930
943,222
392,178
1122,302
1068,389
625,221
1325,345.5
644,283
1741,461
3060,987
754,209.3333333
3000,730
209,64
26743,74974
5943,671
15193,778
9082,792
5078,454.5
5412,120
107489,7810
23195,1473
3902,483
36352,1765
16044,1206
10217,648
21529,2372
67759,4305
17742,1178
4645,201
4876,383
33482,3882
14638,1074
26285,998
7441,778
9742,565.5
20609,908
14944,655
21029,820
28362,861
25822,978
6375,137
27996,1219
15711,1121
6153,628
803581,-803581
1848177,-1848177
1212403,-1212403
473,173
3077,604
440,77
298,195
708,365.5
896,110
15160,3673
61,38
157,65
710,314
850,324
716,483
770,400
987,376
288,124
843,201.5
630,365
402,209.5
1131,248
455,238
1895,491
1087,439.5
2308,695
937,274
506,239
2113,729
1047,390
170,52
938089,-938089
3185,632
453,168
308,108
766,376.5
946,197
15693,3820
696,197
65,42
162,85
734,403
902,309
773,459
10032,2106
1051,419
776,238
299,131
899,313
680,343
1542,496.3333333
1152,254
474,176
1967,505
1156,369
2394,654
968,328.6666667
534,275
1081,355
174,58
1952381,-1952381
1090905,-1090905
6044,626
15086,946
9151,780
5085,78
5424,115
9135,928
108522,7783
23361,1502
3947,523
7687,842
36645,1771
16193,1204
10320,617
21723,2423
68061,4257
17905,1122
4649,204
4905,384
33890,3847
14745,749.5
26404,974
7512,809
9778,558
20821,840
14993,703
28508,766
25926,994
6362,341
27994,1289
15799,1125
6202,391.5
3122,412
2901,860
3394,425
4635,903.5
3557,450
54274,6293
8678,2227
901,436.5
2913,623
14475,3125
7477,1267
4419,905
9053,1753
39646,4322
7443,965
2802,254
2286,586
10982,3604
8192,874
14657,1925
5163,1133
4883,2635
9550,740
13907,951
15893,2225
10973,1838
3177,485
14271,2739
6369,1559
1550,630
7015,46406
82514,100382
2104298,-2104298
1960033,-1960033
1752125,-1752125
2041418,-2041418
736197,-736197
3260,420
2981,683.5
56202,6266
9268,2227
963,466
3001,596
15081,3644
7627,1410
4611,925
40536,4755
7564,1055
2828,288
2415,543
12010,3064
14880,2016
2592,402
5299,1151
9607,768
14424,956
16487,2200
11431,1981
3192,506
14777,2822
6544,1111
1621,617
1675996,-1675996
3794,16766.5
911965,-911965
1167,250
1452,211
3571,293
2272,100
37550,3431
3039,1017
343,130
5289,1358
3986,460
27457,2039
4643,484
2007,190
1123,358
4043,645.5
3996,607
7354,1632
6484,370
6125,593
8254,1177
1856,269
7362,1089
2759,1066
608,186
7149,4945
92355,104885
132929,79695
545,219
878,563
1035,165
17060,4027
740,200
72,43
179,109
823,285
1085,316
10905,2071
815,256
327,146
975,301
1746,676.5
1193,281
2639,748
2438,629
185,62
2935,526
9332,854
2546,904
3110,510
4557,172
3287,593
52257,6739
7707,2435
737,522
2614,722
12600,3467
7260,1170
4080,953
8243,2149
38413,4638
6917,1089
2701,277
2130,620
9535,3946
7772,895
13601,2271
2356,499
4701,1216
3966,2644
9202,825
14910,2347
9533,2458
2944,582
12999,3032
5779,1586
757951,-757951
433,157
2906,616
426,76
262,113
605,490
13900,3819
635,124
50,48
142,65
620,304.3333333
744,293
745,232
257,122
756,331
495,406
332,281
1100,238.5
956,415
2114,641
867,262
450,210
1857,547
14709,58598
953762,-953762
1531,385
5750,601
1014,204
3236,378
2008,131
34666,3639
271,111
996,316
4021,1400
3473,375
2463,434
4190,997
24807,2557
3923,696
1713,281
950,321
3119,800
3322,603
5877,1841
1289,260
5860,487
5237,512
1658,238
6312,947.5
2388,786
492,175
13674,764
7118,942
5253,71
6655,684
88039,7744
20406,1399
3215,317
5910,861
29181,2899
8688,635
17669,1769
59697,3554
4183,209
26673,2878
12509,570
23459,1183
5681,734
8866,478
17236,1294
13389,641
19036,749
22769,1271
24718,1375
13330,1160
1291940,-1291940
2207,349
7505,592
1489,355
2079,257
4084,281
2665,190
42980,4122
4936,1230
497,132.5
1838,347.5
7849,1973
4913,1050
6211,1146
32458,2644
5742,371
2316,201
6243,1719
5658,598
10293,936
1664,277
3046,867
3024,602.5
7554,464
8682,779
10542,1359.5
6665,823
2327,346
9458,1437
3817,807.5
791,221.3333333
20314,4781
131148,65410
1119968,-1119968
1403064,-1403064
10319,746
9761,-276
2195,-136
7735,8694
26067,23703
8409,28
2990,678
40586,16798
3658,978
15678,-3842
33329,10713
2629,401
8852,505
2710,272
3280,202
49295,3955
6857,1132
707,262
10947,2369
6791,694
3815,517
37356,2414
6756,373
2576,193
1889,478
8967,1806
7135,449
12690,876
2044,348
4075,939
4194,904
8698,548
11793,657
13411,1609
8933,885
2882,261
12236,1528
4948,1055.5
1212,445
1977071,-1977071
14595,498
7996,806
4977,64
5344,58
7449,562
97388,5945
21837,1082
3535,296
6812,676
32312,2817
14211,1032
9402,529
19314,1701
63545,3405
15634,1209
4402,181
29656,2534
13202,553
24937,848
9299,358
18879,908
14074,435
20053,628
26912,863
24467,898
5878,195
26295,1087
14441,1045
5394,305
1160,319
5043,582
792,258.5
1777,345.5
29904,3925
1722,508
2794,1052
2761,372
1981,505
2971,1120
20457,2548
736,269
1996,857
2445,608
1781,380
1339,485
4537,529
5405,1151
1357,249
5109,1003
1958,513
347,167
873555,-873555
6513,680
17588,1013
9706,757
5337,57
6180,119
9771,1666
117127,8295
24468,2118
4588,500
8284,1049
38327,1792
17316,1106
11186,643
23795,2112
75587,3130
19337,1008
4842,347
5169,348
37069,3922
16203,1135
27637,1005
10472,399
21702,1051
15836,666
31559,828
29265,721
26830,895
6727,171
29254,1079
16860,942
6689,764
4577,625
2082,623
1583,90
25785,4026
1297,434
147,69
417,299
2233,289
1651,434
1993,1208
16957,2861
2292,622
580,226
1565,505
3315,984
879,333.3333333
990,450
3697,659
2986,332
4362,1020
1939,467.5
1062,277
4245,757
1742,785
272,134
3786,434
10916,792
4059,281
4815,193
4342,581
64278,6256
11928,2475
1477,495
3694,683
19778,2951
9321,1372
11298,1718
45548,4594
8789,1370
3146,366
2912,535
17467,2433
9603,913
17433,1856
3229,524
6494,1010
8981,2213
10510,623.5
15655,1055
20099,1806
15038,1579
3828,499
18162,2312
8727,1673
117248,74234
7466,843
17861,920
10920,753
5514,57
6322,917.5
12180,2455
130379,10683
27363,1749
5351,340
10067,1860
41410,2431
19245,550
12258,779
27140,2103
82098,3344
21679,819
5342,240
44042,3542
18338,632
29319,948
10144,1616
11192,305
24623,1276
17262,660
33623,794
30502,590
28240,887
7042,197
31237,758
18208,1280
8339,1203
8354,4972
117727,85712
80587,98771
1944267,-1944267
1975,284
1296,301
1703,233
3761,321
2443,163
39850,3894
3900,1217
408,153
1502,499
29725,2244
2194,222
1281,412
4735,587
8790,1309
1529,243
2559,627.5
6952,413
7290,757
9229,1259.5
2023,271
8182,1056
3182,1182
677,218
18449,953
11427,674
5572,75
6382,93
15202,1824
136612,11575
29328,2687
5603,183
11738,2237
43218,2876
19681,414
12798,842
28759,1942
84337,3460
22474,753
5516,222
5667,627.5
47306,3253
18965,820
30121,942
11420,276
25873,1122
17751,610
34518,790
30972,556
28967,823
7201,156
31803,626
19038,907
9199,1329
2074145,-2074145
1643,384
6144,534.5
1093,226
1304,160
3436,349
2160,161
36422,3864
2706,884
309,130
1135,421
3768,438
2612,488
4564,1006
26352,2645
4350,425
1034,375
3751,644
6630,1711
1375,224
2252,591
2064,641
5763,532
7758,1232
1753,259
6933,1308
540,196
2240,356
7685,538
1572,442
2170,252
4121,268
2714,233
43623,4271
5111,1219
511,170
1891,472
3342,477
33029,2866
5868,480
2342,207
6565,1890
5810,733
10585,1053
1700,284
3140,955
7660,426
9105,679
10894,1423
6914,824
2382,345
9698,1444
818,260.5
2992,553
284,102
659,493
14557,3654
656,152
52,45
150,70
666,370
795,332
698,315.5
742,380
935,348
779,214
275,122
800,301
562,402
1373,532
1113,234
438,214
1831,557
2214,606
1972,600
1009,371
161,54
523,213
3249,720
465,70
321,125
812,545
974,255.5
16299,3972
711,196
68,46
169,92.5
826,454
859,440
10431,2202
782,261
934,310
719,338
1637,496
1164,275
2045,509.3333333
1216,343
2491,678.5
1020,324
1119,325.5
182,59
1921510,-1921510
1105834,-1105834
4171,364
11803,680
5148,1008
4374,693
4980,93
5016,556
71275,5499
14510,2274
23090,2483
11056,862
6580,876
13022,1535
50751,3550
10438,1093
3483,293
3409,494
20005,2340
10532,741
19922,1483
7438,674
12103,1536
16904,688
22498,1086
17818,1449
4528,303
21007,1639
10408,1122
3023,791
1841964,-1841964
5909,272
8445,717
5000,67
5380,59
7700,561
100248,5966
22306,926
3647,306
7067,571
33820,2153
14737,989
9642,548
20122,1575
65162,3106
16396,1099
4501,156
4767,263
31212,2605
13659,621
25340,1809.5
6871,433
9472,328
19435,764
14350,457
20501,585
24963,769
6094,117
26845,1071
14934,925
5684,510
13447,8528.5
118902,73300
1601,401
6013,620
1059,256
1223,250
3369,391
2140,155
35837,3895
2599,892
295,127
1092,382.5
4405,1670
2557,480
4435,1016
25895,2751
4238,607.5
3478,770
3598,692
6372,1774
2198,343.5
1991,495
6139,455
1724,286
6712,1380
2506,920
519,190
9086,2935.5
120832,85069
864,328
578,143
1979,646
25068,3999
1236,317
137,69
2153,257
1598,432
1865,813.5
16371,2591
2143,571
1142,291
1692,494
3158,917
855,282
1551,284
960,381
3599,663
2821,339
4240,616.5
1032,247
1715,345
266,104
2603,540
406,67
441,390
746,123
11665,3339
40,39
510,394
7663,1376
212,112
645,333
360,359
1096,463
247,284
949,339
339,194
1525,364
774,297
1796,667
363,197
1548,590
835,359.5
140,46
1982674,-1982674
1031864,-1031864
4587,421
12566,676
6005,934
4558,183
5108,360.5
5815,657
78105,6710
17250,2213
2470,591
25214,3045
11955,856
7442,959
15044,1838
54687,3813
11703,1523
3832,506.5
22615,3007
11493,559
21391,1482
4578,712
8003,698
14593,1405
12339,684
17681,834
24022,1086
20727,1427
4911,322
22658,1411
11583,1361
574,207
3568,870
1010,724
1139,159
18286,4074
86,44
196,151
1285,298.5
11631,2072
881,245
367,160
1029,302
570,211.5
1241,289
582,298
1539,441
2820,802
1146,303
661,233
2656,542
1263,405
192,66
1630002,-1630002
1150422,-1150422
791516,-791516
1903494,-1903494
1867191,-1867191
4984,612.5
13241,729
4740,127
5222,63
6205,700
83767,7079
19234,1652
2948,460
5482,774
27589,3102
12647,835
8282,733
16584,1923
57853,3479
13019,1353
4041,283
24700,3249
12116,592
22836,1071
8471,656
16269,1218
12889,714
18331,752
24975,1220
22129,934
5371,280
23762,1428
12536,1377
4366,626
5758,253
14604,506
7982,896
5350,55
7419,691
98131,6169
3549,288
6840,768.5
32686,2664
14243,1136
9427,556
19416,1779
63901,3402
15613,1344
4414,184
4639,270
29940,2784
13279,634
24984,923
6578,551
9327,363
18970,925
14136,514
20131,729
27010,872
24565,904
5953,154
26427,1108
14517,1055
2120815,-2120815
3987,365
11370,779
4241,187
4888,162
4878,462
68031,5984
13284,2536
1654,565
4009,677
21479,2709
10283,1108
6027,995
12144,1851
48208,4435
9583,1317
3340,316
3147,520
18735,2655
10162,774
18871,1743
3539,540
7004,874
10720,1957
16414,830
21350,1549
17224,1604
4249,424
19827,1896
9701,1349
2618,884
1994014,-1994014
1881818,-1881818
784693,-784693
1602024,-1602024
1185621,-1185621
1023916,-1023916
48021,85407
4942,234.5
13197,698
6577,931
6119,690
82529,7194
18862,1784
2860,486
5392,753
27230,2969
12513,844
8138,770
16388,1898
57266,3447
12862,1327
4005,286
4069,388
24401,2567
12008,640
22512,1239
16089,1214
12856,698
18243,805
24803,1213
21880,1161
23492,1518
12332,1413
4287,664
12446,711
5927,934
4522,179
5094,103
5822,547
77836,6039
16914,2297
4891,735
25028,2935
11885,838
7389,914
14968,1754
54304,3660
11668,1381
3801,286
3783,413
22481,2733
11409,553
21209,1345
7960,684
14402,1384
12278,660
17541,907
23946,996
20589,1329
22536,1407
11405,999
3735,671
530,
4258,353
11974,747
5365,1073
4399,150
5019,115
5360,605
73068,6315
15363,2296
2096,603
4508,715
23801,2740
11284,896
6846,944
13661,1812
51493,4166
10762,1297
3541,333
3509,565
20690,2666
10778,788
7623,690
12695,1518
11743,667
17146,778
22850,1225
18705,1661
4694,306
21211,1768
10753,1266
3256,785
1956575,-1956575
1390906,-1390906
770728,-770728
2371,349
8014,614
1712,602
2366,276
2875,202
45540,4477
5632,1115
579,213
2106,483
9039,2664
5679,723
34637,2551
6151,406
2442,174
1671,470
7377,1845
6261,754
1829,294
3536,1005
3458,774
7988,475
9987,502
11750,1803
7655,600
2544,341
1058429,-1058429
1670431,-1670431
2045818,-2045818
2056317,-2056317
17344,792
10392,732
6264,106
10503,2374
124985,8253
26026,2183
5047,436
9185,1350
40125,1820
11782,685
25628,1940
78917,2609
20542,874
5141,255
5410,277
40649,3956
17423,832
28642,828
9183,1349
10945,342
23324,1224
16708,665
32627,757
29933,718
27674,738
6899,176
30430,901
17641,1035
7545,1033
5620,313
14363,676
7747,872
5316,68
7134,638
93145,7499
21361,1265
6528,765
31745,2613
13641,1195
9205,512
18749,1762
62041,3503
15060,1385
4346,170
4559,283
28751,2798
12941,655
24446,989
6281,559
9214,383
18453,1004
13850,521
19721,748
26587,841
24013,955
5732,198
25819,1294
14087,1180
1701216,-1701216
1736159,-1736159
4786,599
658,204
1720,93
27760,4566
1453,384
514,384
2325,956
2493,307
1801,474
18704,2703
2585,623
657,255
1719,662
3664,1188
1694,344
1134,679
4106,650
3464,246
4817,1129
2222,653
1182,292
4663,876
304,167
779104,-779104
11444,811
4653,1153
4903,157
4865,532
68437,6406
13420,2692
1681,441.5
4040,913.5
21833,2796
10397,1125
6107,995
12234,1841
48712,4424
9634,1369
3353,343
3174,546
18931,2754
10236,869
19087,1774
3601,518
7069,880
10983,1934
11118,696
16431,923
21575,1505
17555,1457
19933,1868
9866,1327
2686,908
2181291,-2181291
927754,-927754
1761786,-1761786
8263,805
18526,1061
11499,699
6396,86
15874,1752
138539,11221
29914,2506
5698,268
12077,2275
44163,2756
19796,363
12980,859
28929,2119
85198,3435
22745,736
5570,220
5705,205
47808,3289
19174,792
30245,1094
11824,1589
11478,277
17979,603
34672,851
31063,598
29108,894
7226,180
31867,703
19219,854
9375,1340
852719,-852719
889168,-889168
683,314
437,286.5
1360,628
20988,3945
959,260
108,43
250,201
1207,496
1230,867
958,245
1180,440
1225,453
2384,764
1370,301
720,306
2795,538
2013,507
3384,1003
1396,323
3176,728
2018,262
1816,206
3870,483.5
40731,4006
4083,1173
431,148
1553,544
6736,1765
30406,2284
5333,196.5
2237,217
1326,333.5
9218,1175
1562,250
2657,712
7144,354
7617,646
5666,1085
2102,320
8530,1228
3348,1144
706,241
1376073,-1376073
3600,360
10538,620
3569,984
3863,303
4775,152
4118,437
61339,5720
10873,2181
1303,457
17950,3247
8867,1232
10730,1519
44044,4218
8502,1133
2738,497
16527,2150
9219,840
16617,1478.5
2932,437
6066,1005
8046,2177
10072,724
18989,1839
14685,1594
3654,437
16949,2356
1490077,-1490077
5020,400
13262,850
4764,129
5230,62
84591,7567
19419,1655
27829,3170
12734,844
8367,739
16850,2005
58296,3554
4073,271
4154,384
24948,3336
12151,664
22956,1113
8532,658
16391,1318
13009,725
18395,847
25174,1207
22132,1034
23876,1487
12643,1379
4480,655
1028,
31848,10251
1130,347
721,195
2562,533
1755,98
29401,3895
1647,504
195,71
615,313
2644,1028
2693,341
1913,466
2846,1080
19974,2481
2831,528
1336,240
1763,312
1257,491
4413,599
3711,117
5260,1089
2422,745
1292,259
4961,921
2080483,-2080483
1856543,-1856543
4113,375
11713,756
4979,1087
4959,660.6666667
4951,609
70354,6005
14192,2432
4275,674
22616,2644
10827,911
6415,956
12698,1667
50162,3972
10175,1207
3446,303
3341,526
19591,2590
10461,778
19674,1652
3745,518
7329,757
11735,1670
11282,663
16777,787
22245,1182
17703,1460
4479,349
20670,1734
10265,1162
2914,845
2605,401
8519,505
2002,597
2663,272
3197,202
48511,3955
6619,1132
2329,460
10483,2369
6596,694
3776,569
7433,1341
36845,2414
6635,373
1845,478
8679,1806
6936,449
12410,876
2003,348
3927,939
4001,904
8572,548
13086,1609
8491,885
2774,261
11747,1528
1685996,-1685996
1639943,-1639943
6521,531
17530,976
6730,105
9700,1578
116687,7723
4556,499
8213,953
38188,1772
17237,1073
11171,611
23577,2163
75443,3151
4834,326
5152,319
36704,3637
16085,1104
27590,930
8086,949
10433,427
21556,945
15771,652
31400,772
29180,730
26760,886
6591,172
29192,1010
16895,876
6588,761
416,74
543,322
47,39
139,52
670,360
8289,1475
804,411
239,124
1066,226
399,215
413,215
910,399
148,55
3355,29470
904042,-904042
1858844,-1858844
6556,681
9798,714
5347,61
6188,117
9916,1552
118092,7762
24672,2057
4661,482
8401,1068
38635,1808
17469,1033
11267,616
24011,2073
76022,2790
19457,984
4896,318
5201,338
37373,3773
16339,1050
27751,960
8235,1024
21874,996
31672,817
29386,679
26875,906
6743,158
29402,1045
16980,878
2140327,-2140327
918681,-918681
1928467,-1928467
5793,440
14740,539
8500,792
5389,73
7814,743
101998,6120
22438,1046
3661,350
7115,934.5
34489,2038
14936,1052
20229,1824
65800,3370
4747,304
31105,2965
13764,791
25503,901
6944,547
9485,395
14470,572
20594,641
27460,887
25083,867
6186,169
27019,1138
15087,918
5711,549
1468,378
5640,623
981,282.5
3166,357
1946,142
34034,3906
2326,629
268,108
941,338
3802,1367
3334,487
2381,472
4032,1004
24153,2343
1603,259
912,308
3136,601
5462,1973
1264,250
1818,523
5668,549
6732,1299
3221,1015
1580,280
6108,1219
463,170
1542991,-1542991
1472151,-1472151
2215884,-2215884
1899742,-1899742
1620008,-1620008
1872375,-1872375
4710,671
699,213
634,196
2273,581
27133,4318
1410,369
158,79
2178,1005
2406,319
1748,471
1661,630
2006,601
1660,319
3337,244
4702,1050
2148,621
4506,766
287,170
26990,8976
140823,60764
1888638,-1888638
1917958,-1917958
4889,431
13157,666
6555,865
5202,66
6045,667
82245,6728
18647,1860
5388,749
12455,768
8055,770
16281,1841
57137,3297
12786,1280
3984,267
4053,379
24150,3089
11940,615
22217,1278
5057,684
8333,631
15860,1234
12821,622
18196,806
24704,1178
21839,1131
23486,1393
12205,1398
4246,641
3937,274
62209,5577
11081,2363
18158,3296
8997,1289
5271,871
10786,1655
44425,4269
8457,1220
3019,353
2760,497
16881,2148
9292,944
16712,2037
6137,1038
8342,2131
15444,880
19244,1929
14900,1402
3717,470
2099,664
6688,632
17989,794
5377,53
10317,1359
120078,7066
25006,2015
8513,1109
38842,1735
17789,888
24437,2023
76823,2573
19708,898
38212,3749
16585,971
28003,793
8482,1040
10663,374
22143,1007
16105,654
31959,739
29479,747
27175,792
6798,151
29695,1021
17071,904
1974255,-1974255
1744262,-1744262
2889,507
9227,861
2915,524
4491,205
3204,609
50980,6935
7373,2501
667,488
2541,743
12040,3416
7126,1171
4056,906
7970,2163
37701,4912
6891,1055
2674,290
2101,593
8980,3920
7601,897
13076,2605
2282,433
